name;operator;network;wheelchair;geom
Curslacker Brückendamm;;;;0101000020E6100000CF34BCB43C6624401083AF9E49BB4A40
Curslacker Brückendamm;;;;0101000020E61000000DD3AD8D67662440427859B851BB4A40
Heinrich-Osterath-Straße;;;;0101000020E61000004E524FD5F35824406C1789BFDCB84A40
Heinrich-Osterath-Straße;;;;0101000020E61000008B2606370859244057804AF0E1B84A40
Heinrich-Osterath-Straße;;;;0101000020E610000016C440D7BE58244032395A7AD9B84A40
Heinrich-Osterath-Straße;;;;0101000020E6100000BA6D3A5D715824401797F441E0B84A40
Oortkaten;;;;0101000020E610000058CA32C4B12E24409758198D7CB94A40
Oortkatenufer;;;;0101000020E6100000EBB76576CC332440B73874C46BB84A40
Howe;;;;0101000020E61000004A1B58D81D4C2440001066C9D2B54A40
Hower Brack;;;;0101000020E610000011BC6B1A254D244081ECF5EE8FB54A40
Howe, Deich;;;;0101000020E6100000497DFE20374C2440808B040940B54A40
Howe, Deich;;;;0101000020E610000044691437134C2440B645E39A4CB54A40
KZ-Gedenkstätte (Ausstellung);;;;0101000020E610000071A47DBD0C7424405F3D38E9C7B64A40
Wulksfelde;;;;0101000020E6100000E91F8EBFFE392440B5F4B23742DC4A40
KZ-Gedenkstätte (Klinkerwerk);;;;0101000020E6100000D40DB9BEB47524405A8121AB5BB74A40
KZ-Gedenkstätte (Mahnmal);;;;0101000020E6100000ECA529029C762440017D6CDCACB74A40
Immenhöven;;;;0101000020E610000074637AC2120B24409CD9531795D44A40
U Langenhorn Nord;;;;0101000020E6100000BF558D1480092440C82EAC76A8D44A40
Timmerloh;;;;0101000020E610000092521A7B400A2440EC353D2828D44A40
Robert-Koch-Straße (West);;;;0101000020E610000053C77432821724406E60BC30E3D74A40
Robert-Koch-Straße (West);;;;0101000020E6100000919E2287881724407A2B5CA0EED74A40
Glashütte, Friedhof;;;;0101000020E61000007A01F6D1A9172440E2BA18B95DD74A40
Glashütte, Siegfriedstraße;;;;0101000020E610000048FB1F60AD1E24401A6B24AE08DA4A40
Glashütte, Siegfriedstraße;;;;0101000020E6100000D9C7540B361F244027A199CC1DDA4A40
Glashütte, Hans-Salb-Straße;;;;0101000020E6100000E280F167D310244092F01879B4D74A40
Hasloher Kehre;;;;0101000020E61000006077BAF3C40F24406AFD2D01F8D64A40
Hasloher Kehre;;;;0101000020E6100000963F845DB90F244042D5E8D500D74A40
Tangstedt, Puckaff;;;;0101000020E6100000F045C549AB272440823F57B66ADB4A40
Heimgarten;;;;0101000020E61000000484C5973F1D2440D5E87A4732D64A40
Heimgarten;;;;0101000020E6100000B5AE2C2C131D24404EEC46C439D64A40
Drosselstieg;;;;0101000020E61000004CA6AF8CB21F244070F66283E0D54A40
